Nombre del juego,Nivel de complejidad,Premisa del juego,Tiempo de juego (min),min jugadores,max jugadores
Love letter,Bajo,Juego de deducción y riesgo donde intentas llevar una carta de amor a la princesa mientras eliminas las cartas de los rivales.,20,2,6
Penguin Breaking Ice,Bajo,Destreza física; los jugadores se turnan para golpear bloques de hielo con un martillo intentando no tirar al pingüino.,15,2,4
Ka-Blab!,Bajo,Juego de palabras a contrarreloj con un temporizador que simula una bomba; debes decir elementos de una categoría antes de que explote.,20,2,6
Carcassonne,Medio,"Estrategia de colocación de losetas donde los jugadores construyen ciudades, caminos y monasterios de la Francia medieval para sumar puntos.",35,2,5
doodle dice,Bajo,Juego de dados en el que se lanzan para conseguir combinaciones que coincidan con los dibujos de las cartas y así coleccionarlas.,30,2,6
Deep Dreams,Bajo,Los jugadores son guardianes que guían al pequeño Bruno en su cama por el mundo onírico; se conectan cartas asociando bloques de color y alineando flechas blancas para trazar un camino continuo y reparador sin despertarlo.,15,2,5
UNO show'em no mercy,Bajo,"Una versión brutalmente competitiva del UNO clásico, con penalizaciones despiadadas, cartas de +10 y eliminación directa si acumulas cartas.",25,2,6
UNO,Bajo,"El clásico juego de cartas donde debes deshacerte de tu mano haciendo coincidir colores o números, saboteando a los demás.",20,2,10
Hive,Medio,Juego abstracto para dos jugadores (sin tablero) donde usas insectos con movimientos únicos para rodear a la reina rival; requiere mucha estrategia.,15,2,2
Virus,Bajo,Juego de cartas rápido donde compites por aislar un cuerpo sano mientras infectas y destruyes los órganos de tus oponentes.,20,2,6
Virus 2,Bajo,"Expansión que añade nuevos virus mutados, medicinas experimentales y vacunas, elevando muy ligeramente la toma de decisiones.",20,2,6
Unstable unicorns,Medio,Estrategia de cartas donde construyes un ejército de unicornios en tu establo mientras traicionas y destruyes los avances de tus amigos con efectos de cartas.,35,2,8
Tides of madness,Medio,Juego de cartas para dos basado en los mitos de Cthulhu; debes equilibrar la puntuación de mayorías con el nivel de locura que acumulas.,20,2,2
The fox in the forest,Medio,Juego de bazas para dos personas donde las cartas tienen habilidades mágicas; ganar demasiadas bazas te convierte en el villano y pierdes puntos.,30,2,2
Fantasma blitz,Bajo,Juego de reflejos y agudeza visual donde debes ser el más rápido en atrapar el objeto correcto según las combinaciones de la carta revelada.,25,2,8
Exploding kittens,Bajo,"Una ruleta rusa estratégica con gatitos; los jugadores roban cartas hasta que a alguien le sale un gato explosivo y queda eliminado, a menos que lo desactive.",15,2,5
Código secreto,Bajo,Dos jefes de espías dan pistas de una sola palabra para que sus equipos descubran a sus agentes secretos en un tablero de palabras sin topar al asesino.,15,2,8
Taco Gato Cabra Queso Pizza,Bajo,"Locura de reflejos; se van diciendo las palabras en orden y si la carta coincide con lo que dices, todos deben palmear el centro. El último acumula cartas.",10,2,8
Polilla tramposa,Bajo,"Juego de cartas familiar donde el objetivo es deshacerte de tu mano... ¡incluso haciendo trampas escondiendo cartas!, cuidándote del Guardián.",20,3,5
La feria de las pulgas de Titirilquén,Bajo,Juego infantil de mesa (temático de 31 Minutos); los jugadores compiten en dinámicas de feria muy sencillas para conseguir objetos y puntos.,30,3,10
Domino,Bajo,"Clásico juego de mesa donde se colocan fichas numeradas haciendo coincidir los extremos, buscando quedarse sin fichas o bloquear al rival.",20,2,4
Clues express,Bajo,Versión rápida y simplificada del juego de deducción de crímenes; se lanzan dados y se descartan sospechosos de forma ágil.,15,3,4
Deep Sea,Medio,"Buscadores de tesoros submarinos que comparten el mismo tanque de oxígeno; si eres muy codicioso, todos mueren. Reglas simples, pero con tensión psicológica.",30,2,6
Spot it! Classic,Bajo,"Agudeza visual; juego de cartas donde siempre hay un único símbolo idéntico entre dos cartas cualesquiera, y debes ser el primero en encontrarlo.",15,2,8
Spot it! Gone Camping,Bajo,"Variación del Spot it! clásico con ilustraciones orientadas a campamentos, naturaleza y herramientas de supervivencia al aire libre.",15,2,8
Star Realms,Medio,Juego de construcción de mazos (deckbuilding) de combate espacial; compras naves y bases para destruir la autoridad de tu oponente combinando efectos.,30,2,4
Happy Little Dinosaurs,Bajo,"Intentas esquivar desastres naturales, de salud o emocionales para que tu dinosaurio sobreviva mientras saboteas a los demás para que se extingan con cartas sencillas.",40,2,4
Reyes de la Rosca,Bajo,Juego de cartas rápido y de azar mexicano donde se compite por obtener los mejores pedazos de Rosca de Reyes esquivando sacar el 'monito'.,20,2,6
Four field cone,Bajo,Movimiento abstracto tradicional donde intentas bloquear o alinear piezas en un pequeño cuadrante. Reglas minimalistas.,10,2,2
Poker,Medio,"Juego de apuestas y cartas; las reglas de las manos son sencillas, pero dominar la psicología, apuestas y faroles (bluffing) requiere práctica.",20,2,10
Baraja Española,Varía,"Set de cartas tradicional multiusos. La complejidad depende enteramente del juego elegido (un Conquián o Brisca es Medio, mientras que una Escoba es Bajo).",20,2,10
Conecta 4,Bajo,Juego de estrategia vertical en el que dejas caer fichas en una rejilla con el objetivo de alinear cuatro de tu color antes que tu rival.,10,2,2
Catan,Alto,"Gestión de recursos e intercambio; los jugadores colonizan una isla construyendo pueblos, rutas y negociando materias primas. Tiene múltiples reglas de comercio y desarrollo.",75,3,4
Survive the Island,Medio,"Los jugadores intentan evacuar a sus exploradores de una isla que se hunde, moviendo barcos y esquivando monstruos marinos activados por turnos.",45,2,5
Rummy,Medio,Clásico juego de mesa (con fichas o cartas) donde combinas secuencias numéricas o grupos del mismo valor; requiere atención para acomodar combinaciones largas.,30,2,4
Ajedrez,Alto,"Juego de estrategia pura en tablero. Aprender el movimiento de las piezas es sencillo, pero la profundidad táctica y anticipación de jugadas es muy alta.",30,2,2
Turista mundial,Bajo,"Juego de tablero clásico de finanzas basado principalmente en los dados, donde compras países, construyes hoteles y cobras renta a los rivales.",50,2,6
Serpientes y escaleras,Bajo,Juego infantil de recorrido basado puramente en el azar de los dados; no requiere ninguna toma de decisiones.,20,2,6
¡Basta!,Bajo,"Juego de agilidad mental y vocabulario; se elige una letra al azar y se completan categorías (Nombre, Flor, Fruto) antes de que alguien detenga el tiempo.",15,2,8
Igloo mania,Bajo,"Juego de habilidad física donde los jugadores retiran bloques de hielo de un iglú usando un gancho, intentando que la estructura no colapse.",15,2,4
